ITEMID,ITEMNAME,VEHICLETYPE,ITEMBRAND,LISTPRICE,DISCOUNT
866,F.FORK LINK BOLT W.NUT & NIPPLE BIG,B.M-80,SW,20,35
867,F.FORK LINK BOLT W.NUT SMALL,B.M-80,SW,11,35
AND,XXX,XXXX,XXX,0,0
NEW-012255,BREAK PEDAL ,"NEW CT-100 DX,PLATINA",NEWIN,198.36,43
NEW-014102,BREAK ROD+PIN,SPL/PASSION/CD-DAWN,NEWIN,45.72,43
NEW-014256,BREAK ROD,PULSR/DTSI,NEWIN,45.72,43
NEW-026101,CLUTCH HUB,HH,NEWIN,158.4,43
NEW-026254,CLUTCH HUB,PULSR/DTSI&180,NEWIN,198.48,43
NEW-027103,CH.TENSIONER ASSAY,"ACHIVER,UNI,SUP,SP",NEWIN,130.8,43
NEW-027104,CH-TENSIONER ASSAY,AMBITION/CBZ/KRZ,NEWIN,111.24,43
NEW-027204@,CH.TENSIONER ASSY,STAR/STAR CITY,NEWIN,130.8,43
NEW-027252,CH-TENSIONER ASSY,CALIBER/KB-4S,NEWIN,117.6,43
NEW-027254@,CH.TENSIONER ASSY,DTSI,NEWIN,117.6,43
NEW-027255@,CH.TENSIONER ASSY,DISC/PLSR/CT-100,NEWIN,117.6,43
NEW-028101,CLUTCH CENTER,HH,NEWIN,111.12,43
NEW-028253,CLUTCH CENTER,DISC/DTSI/PLSR-180,NEWIN,146.04,43
NEW-029101,CLUTCH HOUSING+RUB-KIT,HH,NEWIN,152.4,43
NEW-029102,CLUTCH HOUSING,GLMR/S-SPL,NEWIN,201,43
NEW-029151,CLUTCH HOUSING,YBX/CRX/LIB/RX100,NEWIN,167.88,43
NEW-062262,MAIN TUBE,BAJAJ-XCD,NEWIN,710.4,43
NEW-064101,REAR NO. PLATE,SPL,NEWIN,41.4,43
NEW-064201,REAR NO.PLATE,TVS SUZUKI,NEWIN,41.4,43
NEW-064253,REAR NO. PLATE ,4S,NEWIN,44.16,43
NEW-065101,PLUG SPANNER,HH,NEWIN,39.24,43
NEW-067201,R-MUD PATTI BIG,TVS-SUZUKI,NEWIN,87.12,43
NEW-067202,R-MUD PATTI SMALL,TVS-SUZUKI,NEWIN,50.16,43
NEW-068101,PLUG ADAPTOR,HH,NEWIN,17.4,43
NEW-068202,PLUG ADAPTER,VICTOR,NEWIN,21.78,43
NEW-068206,PLU ADAPTER,TVS STAR,NEWIN,23.88,43
NEW-068208,PLUD ADPTER,SCOOTY,NEWIN,21.72,43
NEW 070103,SINDE STAND,SPL/PASSION,NEWIN,89.4,43
NEW-070451,SIDE STAND,M-80,NEWIN,100.32,43
NEW-071201,SILENCER END CAP,TVS-SUZUKI,NEWIN,87.24,43
NEW-071253,SILENCR END CAP,KB-4S,NEWIN,100.2,43
NEW-073451,SILENCER JALI,M-80 OLD,NEWIN,56.64,43
NEW-075202,SPOCKET HUB,SAMURAI,NEWIN,239.88,43
NEW-075203,SPOCKET HUB,VICTOR,NEWIN,231.24,43
NEW-076451,SHOCKER BUSH BIG,M-80,NEWIN,7.8,43
NEW-078103,S.METER WORM(STEEL),S-SPL,NEWIN,43.56,43
NEW-078204,S.METER WORM(STEEL),VICTOR,NEWIN,43.56,43
NEW-078206,S.METER WORM((STEEL),STAR CITY,NEWIN,43.56,43
NEW-078252,S.MTER WORM(STEEL),KB-4S,NEWIN,43.56,43
NEW-078257,S.METER WORM(STEEL),DISCOVER,NEWIN,43.56,43
NEW-082101,STAND PIN,HH,NEWIN,34.8,43
NEW-090351,WHEEL RIM,BAJAJ,NEWIN,414.36,43
NEW-1001,ACC. PIPE,HH,NEWIN,12.96,43
NEW-1053,CH.COVER-BOLT BIG,HH,NEWIN,1.44,43
NEW-1054,CH.COVER-BOLT SMALL,HH,NEWIN,1.38,43
NEW-1061,DRUM PLATE NUT+BOLT SM.,HH,NEWIN,8.64,43
NEW-1107,HANDLE RUB. SET-4,HH,NEWIN,8.64,43
NEW-2001,ACC.PIPE,TVS-SUZUKI,NEWIN,10.2,43
NEW-2002,ACC.PIPE,SAMURAI,NEWIN,10.2,43
NEW-2101,CHOKE LEVER,TVS-SUZUKI,NEWIN,11.28,43
NEW-2104,CRANK-CASE SCREW,TVS-SUZUKI,NEWIN,93.6,43
NEW-2501,ACC.PIPE,KB-100/KB-4S,NEWIN,10.2,43
NEW-SP102,BRK.SHOE SPRING,HH,NEWIN,2.4,43
NEW-SP120,BRK-SHOE SPRING,TVS-SUZUKI,NEWIN,3.6,43
NEW-SP130,BRK-SHOE SPRING,KB-4S,NEWIN,3.6,43
NEW-SP250,BRK-LIGHT SPRING,TVS-SUZUKI,NEWIN,2.28,43
